	EA05	EA08	EA07	EA04	EA18	EA26	EA12	EA34	EA13	EA25	EA20	EA21	EA22	EA27	EA33	EA15	EA80	FA59	FA61	EA70	EA84	FA77	EA69	FA50	EA82	EA74	FA46a	FA62	FA57	EA73	BE09	BE01	BE03	BE10	BE06	BE35	BE28	BE31	BE29	BE23	BE16	BE30	BE32	BE37	BE38	BE39	BE41	BE60	BE81	BE53	BE51	BE68	BE77	BE66	BE69	BE72	BE45b	BE54	BE79	BE76	BE83	BE56	BE48	BE63	BE58	BE71	TO05	TO03	TO07	TO04	TO06	TO17	TO31	TO24	TO25	TO20	CA11	CA09	CA05	CA08	CA03	CA07	CA02	CA10	CA06	CA18	CA19	CA35	CA17	CA26	CA28	CA31	CA12	CA43	CA29	CA34	CA13	CA23	CA24	CA25	CA14	CA16	CA20	CA21	CA30	CA32	CA22	CA42	CA37	CA27	CA36	CA38	CA39	CA33	CA41	CA15	CA80	CA60	CA81	CA59	CA49	CA68	CA84	CA86	CA77	CA65	CA66	CA69	CA85	CA52	CA72	CA50	CA45a	CA45b	CA54	CA82	CA67	CA83	CA46a	CA63	CA55	FA11	FA08	FA07	FA02	FA18	FA19	FA26	FA12	FA43	FA13	FA25	FA14	FA22	FA42	FA36	FA33	FA40	FA80	EA59	EA49	FA70	FA84	EA77	EA52	EA72	EA45a	FA82	FA78	FA74	EA46a	EA46b	EA62	EA55	EA47	FA73	MO09	MO05	MO03	MO10	MO04	MO06	MO35	MO17	MO29	MO34	MO23	MO14	MO16	MO42	MO40	MO73	MO71	NO11	NO09	NO01	NO03	NO10	NO42	NO37	NO27	NO36	NO38	NO39	NO33	NO40	NO41	NO15	NO80
ASV87	0	8	0	4	80	51	0	0	60	0	26	0	0	13	0	0	160	0	0	8	0	0	0	9	7	33	0	15	8	47	0	0	84	0	137	0	57	46	18	43	0	0	0	0	0	115	0	30	82	13	25	255	7	6	173	0	0	47	0	0	28	0	0	0	0	0	0	8	58	4	10	0	0	0	36	0	0	87	216	95	13	301	348	309	688	26	4	43	0	887	3	5	0	231	46	101	0	0	117	44	100	103	0	50	0	0	0	0	5	0	0	21	0	0	6	0	125	0	347	567	121	298	1026	654	500	580	1428	768	265	131	513	1191	255	783	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV56	10	71	0	10	184	60	0	0	145	0	71	22	0	71	0	31	364	0	0	60	0	2	5	31	6	98	0	33	16	51	10	5	110	0	190	9	141	88	48	55	0	6	20	6	0	195	0	108	211	73	35	447	5	6	795	0	15	112	7	13	40	5	0	17	22	0	74	15	72	7	18	0	7	27	262	0	0	114	295	123	43	209	183	327	1684	82	0	96	0	817	0	0	18	475	137	169	3	10	433	78	53	180	0	353	4	0	0	0	4	78	5	27	6	22	11	0	48	0	652	474	155	1409	1509	972	265	1304	1083	774	799	111	722	603	531	3759	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV13	16	147	0	0	0	0	0	0	0	0	20	121	0	28	0	0	0	0	0	1598	0	0	0	0	11	0	0	712	0	80	0	0	682	0	0	0	123	712	145	0	0	25	153	0	0	0	0	0	251	0	90	393	0	0	0	0	14	16	41	0	0	0	49	1004	24	0	1684	0	24	0	21	0	23	0	0	0	0	0	0	0	63	0	0	0	0	11	0	0	0	0	0	0	0	21	15	0	0	6	0	35	0	0	0	0	0	0	0	0	0	26	0	0	0	13	163	0	0	0	0	0	0	0	0	2015	119	0	12	0	90	0	0	0	393	0	0	2643	154	0	48	0	125	0	0	0	0	0	95	948	13	0	84	0	4	0	0	0	0	0	0	0	0	0	0	0	7	19	12	0	31	0	0	0	0	0	0	0	0	59	337	0	137	0	0	14	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV22	13	37	0	19	209	250	0	8	17	0	26	147	11	11	0	79	163	0	0	5	0	0	9	18	6	14	0	29	11	23	5	0	109	0	161	4	74	132	38	94	0	45	21	0	6	176	0	17	146	26	39	250	9	5	669	0	70	173	69	21	151	5	0	200	27	0	53	22	158	8	0	0	11	13	113	0	24	152	747	232	477	1312	694	2565	4298	589	22	287	10	2650	16	20	42	1021	297	503	10	58	949	545	288	653	9	209	14	48	0	6	12	195	14	202	24	63	204	15	151	12	1071	1081	2369	2760	4170	3420	831	2205	2104	2185	1654	887	1183	1699	1180	7549	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV28	0	0	0	33	286	31	0	0	44	0	26	33	0	16	0	0	304	0	0	39	0	0	0	10	0	7	0	23	0	10	11	0	178	0	61	0	38	54	28	14	0	9	0	0	0	34	0	6	59	21	15	53	0	2	210	0	6	28	0	0	12	0	4	26	21	0	33	17	0	3	0	0	0	21	6	0	19	171	1087	396	133	537	558	623	4288	165	8	274	7	3335	6	22	28	335	79	74	2	35	602	453	839	703	12	1370	17	19	0	4	6	73	7	109	51	230	106	3	84	29	566	1505	703	2621	3510	1592	1282	3239	3969	948	590	171	544	1305	703	4049	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV75	0	29	0	0	58	65	0	17	30	0	32	68	0	34	0	0	75	0	0	22	0	0	0	24	0	70	0	18	8	0	0	0	63	0	12	6	8	78	13	18	0	0	0	5	0	58	0	46	85	11	16	118	0	0	191	0	0	6	16	0	34	0	0	51	0	0	25	5	59	0	0	0	10	0	25	0	0	122	159	106	111	210	248	76	778	24	0	178	0	950	0	4	0	348	55	89	5	0	160	186	24	307	0	117	0	5	0	0	0	16	0	27	0	0	29	0	89	6	1126	1609	172	680	434	176	518	691	110	247	364	272	369	614	25	865	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV45	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	289	0	17	17	48	144	164	59	672	92	454	350	108	355	807	120	194	162	249	3014	80	218	560	72	151	355	101	366	207	81	357	68	511	300	121	188	628	171	526	296	226	363	1222	109	325	830	46	214	47	416	283	53	668	7	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0
ASV62	0	31	0	0	55	103	0	0	32	0	77	26	6	98	0	12	74	0	0	30	0	0	9	16	7	42	0	17	17	37	0	0	19	0	17	0	36	68	21	52	0	13	0	0	0	47	2	29	51	26	27	19	0	0	106	0	0	14	18	0	44	4	0	0	16	0	103	19	16	0	8	0	0	0	94	0	4	76	456	184	124	862	1030	841	1120	55	0	48	0	943	0	0	7	282	41	71	0	16	120	79	229	159	2	183	9	0	5	0	0	38	0	58	6	52	22	5	71	9	650	910	717	681	1356	61	279	915	1116	420	194	99	258	1894	127	1277	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV4	0	34	0	0	94	89	0	6	68	0	66	0	0	48	0	0	105	0	0	21	0	0	0	9	3	28	0	30	26	31	12	0	81	0	16	5	71	27	0	0	0	0	0	0	0	68	0	46	56	21	0	86	0	5	91	0	0	0	0	0	29	0	0	146	15	0	44	13	28	8	0	0	6	12	56	0	44	954	4012	2017	2245	4844	8872	5038	11458	452	39	638	13	10327	20	57	122	2571	628	1518	27	127	1994	2375	2329	2742	58	3296	126	59	22	24	44	1352	63	1024	271	416	643	27	1000	105	12926	20761	5047	5276	7929	5698	4538	6145	6906	5997	2841	2258	4831	10275	2431	13284	1716	5	384	0	25	10	29	27	92	49	9	0	30	26	13	31	152	36	94	52	22	606	15	32	204	5	28	31	26	60	48	16	90	17	170	142	21	55	130	28	68	98	28	65	256	38	99	729	9	75	10	46	340	12	116	7	0	508	725	258	391	127	567	55	15	0	0	370	114	16	23	0	871	5	132
ASV59	0	138	0	0	0	0	0	0	90	0	0	0	0	90	8	59	1292	0	0	329	0	0	0	0	703	0	0	68	0	59	7	0	109	0	0	0	19	41	17	72	287	0	0	0	26	34	6	13	9	0	10	45	199	5	126	0	625	475	151	418	32	6	0	11	0	70	158	9	7	0	0	0	9	12	843	49	0	38	0	0	0	110	7	3	0	0	0	0	0	0	0	0	0	0	0	37	0	54	0	96	0	0	0	12	0	0	0	3	0	0	5	2	0	9	0	0	0	0	0	124	0	0	0	215	434	19	0	0	19	0	23	0	180	0	4	0	10	15	6	4	6	100	161	64	0	17	0	35	18	0	0	6	0	0	0	0	22	0	17	0	0	0	0	347	53	64	95	21	0	445	21	4	8	108	3	0	0	6	257	62	0	3	5	2	7	0	0	16	0	0	0	29	0	213	0	15	0	0	20	0	21	342	570	19	12	0	0	12	0
