name,B21-28F,B22-28F,B23-28F,B24-28F,B25-28F
Lactococcus,52,21,0,9,1
Tannerella,787,756,395,1266,1111
Barnesiella,12,21,8,24,17
Bacteroides,130,241,192,228,315
Hydrogenoanaerobacterium,0,0,0,0,1
Clostridium,458,344,418,167,334
Lactobacillus,149,281,53,312,59
Oscillibacter,31,44,14,38,47
Prevotella,49,34,196,31,110
Clostridium::Eubacterium,0,9,0,2,0
Porphyromonas,0,2,0,0,2
Parabacteroides,13,27,32,21,11
Alistipes,29,59,103,32,25
Eubacterium,64,97,159,102,62
Helicobacter,67,1,5,4,65
Coprococcus,48,53,26,11,25
Clostridium::Bacteroides,0,8,0,0,0
Oscillospira,0,10,4,7,9
Roseburia,58,69,9,37,13
Allobaculum,0,0,0,1,0
Parasutterella,4,5,2,0,0
Roseburia::Clostridium,0,1,1,0,0
Odoribacter::Tannerella,0,0,0,0,0
Eubacterium (Erysipelotrichaceae),48,51,52,82,0
Odoribacter,44,94,17,50,39
Paraprevotella,0,0,22,0,9
Blautia::Clostridium,0,6,14,45,58
Sphingobacterium,1,0,1,0,0
Alkalitalea,38,19,3,1,33
Ruminococcus,4,43,11,36,13
Blautia::Anaerostipes,0,0,0,0,0
Anaerostipes,1,0,0,0,0
Alistipes::Bacteroides,5,3,3,12,5
Eubacterium (Erysipelotrichaceae)::Eubacterium,3,5,1,4,0
Alkalitalea::Sphingobacterium,0,1,0,0,0
Turicibacter,111,214,265,242,1
Butyrivibrio,42,20,14,44,19
Pseudoflavonifractor,12,9,2,9,4
Sharpea,0,0,0,0,0
Parabacteroides::Bacteroides,6,8,16,4,4
Johnsonella,0,0,0,0,0
Butyricicoccus,1,3,1,0,0
Paludibacter,0,0,0,0,0
Blautia,7,7,13,32,29
Ruminococcus::Clostridium,0,1,0,2,0
Bryantella,5,2,3,0,1
Desulfovibrio,5,2,0,1,2
Alkalitalea::Tannerella,0,0,0,0,0
Bacteroides::Alistipes,0,0,3,0,2
TM7 (genus),1,5,0,1,1
Escherichia,0,0,0,0,0
Clostridium::Ruminococcus,4,6,0,0,0
Clostridium::Desulfotomaculum,0,0,0,2,3
Blautia::Ruminococcus,0,0,1,4,1
Bacillus,0,17,9,3,3
Ruminofilibacter,4,0,1,0,1
Anaerotruncus,0,2,2,1,7
Candidatus Arthromitus,5,0,0,0,0
Oribacterium,1,7,0,1,3
Anaeroplasma,0,0,2,0,0
Bilophila,0,0,0,0,0
Lactobacillus::Lactococcus,0,0,0,1,0
Sporanaerobacter,0,0,0,0,0
Ethanoligenens,0,0,0,0,0
Butyricimonas,2,4,1,1,0
Adlercreutzia,0,1,0,0,3
Clostridium::Coprococcus,0,0,0,0,0
Catonella,1,19,0,5,4
Denitrobacterium,0,0,0,0,0
Lachnobacterium,3,3,0,0,1
Enterorhabdus,0,0,0,1,0
Eggerthella,0,0,0,0,0
Pseudomonas,0,0,0,0,0
Rikenella,28,27,0,3,0
Desulfotomaculum,0,4,1,1,0
Catabacter::Ruminococcus,0,0,1,0,0
Desulfitobacterium,0,0,3,6,0
Clostridium::Anaerostipes,0,4,0,0,0
Rhodospirillum,37,5,14,0,0
Clostridium::Roseburia::Subdoligranulum,0,0,0,0,0
Alkaliphilus,0,0,1,0,2
Sporobacter,0,2,2,1,0
Tindallia,0,0,0,0,0
Treponema,0,9,2,0,0
Gelidibacter,0,0,1,0,0
Clostridium::Roseburia,0,1,0,0,0
Clostridium::Blautia,0,0,2,0,1
Anaerostipes::Blautia,0,0,0,0,0
Halanaerobacter,0,0,0,0,0
Streptomyces,0,0,0,0,0
Terasakiella,2,1,5,0,0
Methylobacterium,0,0,0,0,0
Cytophaga,0,0,0,0,0
Streptococcus,0,0,0,0,0
Limibacter,1,0,0,0,0
Pseudoflavonifractor::Clostridium,0,0,0,0,0
Fusobacterium,0,0,0,0,0
Fluviicola,0,0,0,0,1
Desulfuromonas,1,2,1,0,1
Dorea,1,0,0,1,0
Butyrivibrio::Eubacterium,0,0,0,0,0
Porphyromonas::Prevotella,0,0,0,0,0
Flavobacterium,0,0,0,0,0
Desulfocurvus,0,0,0,0,0
Clostridium::Dorea,0,0,0,0,0
Eubacterium::Sporobacter,0,0,0,0,0
Parasporobacterium,0,0,0,0,0
Eubacterium::Clostridium,0,0,0,0,0
Lachnospira,5,9,0,0,0
Anaerotruncus::Clostridium,0,0,0,0,0
Mucispirillum,0,0,0,0,0
Clostridium (Erysipelotrichaceae),0,0,1,1,0
Eubacterium::Roseburia,0,0,0,1,0
Anaerotruncus::Ruminococcus,0,0,0,0,0
Anaerofilum,0,0,0,0,0
Sphingobium,0,0,0,0,0
Anaerovorax,0,1,0,0,0
Eubacterium::Ruminococcus,0,0,0,0,0
