"","Butyrivibrio","X1","X2","Group","Present"
"1",14,"B11","28F","Butyrate","Present"
"2",39,"B12","28F","Butyrate","Present"
"3",18,"B13","28F","Butyrate","Present"
"4",41,"B14","28F","Butyrate","Present"
"5",19,"B15","28F","Butyrate","Present"
"6",0,"B21","28F","Control","Absent"
"7",16,"B22","28F","Control","Present"
"8",1,"B23","28F","Control","Present"
"9",8,"B24","28F","Control","Present"
"10",0,"B25","28F","Control","Absent"
"11",78,"D11","28F","Butyrate","Present"
"12",4,"D12","28F","Butyrate","Present"
"13",17,"D13","28F","Butyrate","Present"
"14",94,"D14","28F","Butyrate","Present"
"15",1,"D21","28F","Control","Present"
"16",0,"D22","28F","Control","Absent"
